test
Iter,alpha,theta,kappa,log(sigma_z),log(lambda),mu_x,log(sigma_x),log(mu_z)
9360,0.104639545,0.041130506,-0.028534818,-2.3441708,-4.356055,-3.6921046,0.6577529,1.1114532
9361,0.104612835,0.041142892,-0.028677983,-2.3565829,-4.369662,-3.6926649,0.66914964,1.1057723
9362,0.10461791,0.04128609,-0.028960362,-2.3700001,-4.3647566,-3.6980486,0.662049,1.1068902
9363,0.10476071,0.041316222,-0.028994557,-2.3726256,-4.370945,-3.712526,0.6588974,1.1176937
9364,0.104908705,0.041389737,-0.028995112,-2.356784,-4.366397,-3.718602,0.65772736,1.1228484
9365,0.10493308,0.0412815,-0.028983785,-2.3435192,-4.373501,-3.721788,0.65625715,1.1478205
9366,0.10490718,0.04126417,-0.028992772,-2.3592448,-4.3707194,-3.7110698,0.64872545,1.155124
9367,0.104996435,0.041369636,-0.028973226,-2.3728764,-4.392438,-3.7155402,0.6383883,1.1694508
9368,0.104836755,0.041318294,-0.02901154,-2.386119,-4.380104,-3.7355988,0.63750017,1.171299
9369,0.10472801,0.04137529,-0.028941132,-2.3864899,-4.3733883,-3.72669,0.6353319,1.1835008
9370,0.1047777,0.041307546,-0.02899436,-2.375619,-4.3643312,-3.719632,0.6507376,1.2098588
9371,0.104802385,0.0414092,-0.028914606,-2.376579,-4.3662825,-3.7232404,0.6624276,1.2215172
9372,0.10477196,0.041544266,-0.02896455,-2.3680146,-4.366858,-3.7283316,0.67074096,1.212564
9373,0.104752064,0.041466575,-0.028833348,-2.3643332,-4.3738217,-3.7304528,0.67082447,1.2031865
9374,0.10476261,0.041601032,-0.028808953,-2.3522248,-4.370309,-3.7463453,0.6703863,1.1898576
9375,0.10483185,0.04164958,-0.028959338,-2.3528998,-4.361659,-3.7327228,0.6668705,1.1799423
9376,0.10471968,0.04151224,-0.028878454,-2.3656645,-4.3668933,-3.7520933,0.67684835,1.1743912
9377,0.10453222,0.041601513,-0.02867228,-2.3782053,-4.3563504,-3.7543101,0.6632232,1.1482797
9378,0.10457174,0.041580696,-0.028602019,-2.378678,-4.3516984,-3.7717717,0.6774614,1.163443
9379,0.104563944,0.0415844,-0.028401906,-2.3772044,-4.3425665,-3.7781131,0.6726894,1.1489836
9380,0.10453609,0.041753598,-0.028377093,-2.3817885,-4.3186464,-3.7647643,0.69292736,1.1724805
9381,0.10445653,0.041892692,-0.028539982,-2.3868153,-4.3079357,-3.7648327,0.69097215,1.1697532
9382,0.10447985,0.041977912,-0.028627023,-2.3910239,-4.3121066,-3.7786505,0.6900273,1.1598867
9383,0.104421094,0.041886758,-0.028558806,-2.4001703,-4.3272004,-3.7702663,0.6978359,1.1506033
9384,0.1043329,0.041742552,-0.028458506,-2.3931787,-4.335243,-3.7869034,0.7136409,1.1499698
9385,0.10433255,0.041827954,-0.02827669,-2.3871613,-4.308483,-3.7770724,0.71826875,1.1471912
9386,0.10431786,0.04175689,-0.028505512,-2.3918607,-4.3116293,-3.785468,0.7099616,1.1337175
9387,0.104242206,0.04185554,-0.028351057,-2.3908446,-4.3122344,-3.7995548,0.6860196,1.1326182
9388,0.10423612,0.041808065,-0.028447215,-2.3837562,-4.300969,-3.7970579,0.6963734,1.1252894
9389,0.10410018,0.041691374,-0.028441448,-2.3783286,-4.306439,-3.8069115,0.69980943,1.1347803
9390,0.10427386,0.041828956,-0.028419295,-2.3782532,-4.3019576,-3.8026865,0.7060071,1.1291044
9391,0.10436235,0.041615006,-0.028488964,-2.3692024,-4.292214,-3.809517,0.71067345,1.1410805
9392,0.10438463,0.04156386,-0.02844662,-2.3708556,-4.2802215,-3.8179693,0.7038291,1.1434146
9393,0.10473777,0.04152491,-0.028303407,-2.3805969,-4.283187,-3.8043396,0.6909968,1.1622574
9394,0.104822375,0.04164672,-0.028144946,-2.3638024,-4.2861733,-3.8129628,0.6966173,1.1702262
9395,0.10477025,0.041567136,-0.028233467,-2.35567,-4.2867303,-3.7995334,0.6857523,1.1643238
9396,0.104849584,0.041700676,-0.028037343,-2.343779,-4.2972126,-3.7967236,0.6836741,1.1703767
9397,0.10476879,0.041613676,-0.028051207,-2.3538723,-4.298993,-3.7974768,0.6880507,1.1768708
9398,0.104725085,0.041775167,-0.028075436,-2.3623354,-4.2930903,-3.790695,0.69172794,1.1646044
9399,0.10463157,0.04192719,-0.02815399,-2.3683667,-4.274699,-3.792383,0.70537484,1.1785003
9400,0.10447365,0.041935857,-0.028130637,-2.365152,-4.272589,-3.806292,0.7128435,1.1822739
9401,0.104509585,0.042005252,-0.02814718,-2.354903,-4.266505,-3.8069751,0.71712965,1.1909916
9402,0.10461081,0.041908074,-0.028228221,-2.3732836,-4.2698736,-3.804137,0.71442246,1.1910183
9403,0.104794234,0.0418448,-0.02828484,-2.369377,-4.271768,-3.7849846,0.71686804,1.1905411
9404,0.104909375,0.04181812,-0.028345494,-2.368556,-4.2701063,-3.7812984,0.70967835,1.1971163
9405,0.10484478,0.0419532,-0.028314063,-2.3645551,-4.2802258,-3.7734294,0.71410644,1.2066282
9406,0.1047702,0.042149395,-0.028184075,-2.3683765,-4.276581,-3.7834387,0.7061637,1.2125459
9407,0.10485168,0.041995525,-0.028197166,-2.3627877,-4.2946315,-3.7815611,0.7157318,1.2157633
9408,0.104955696,0.042055696,-0.02807318,-2.3693225,-4.2960463,-3.7879941,0.7069632,1.2167941
9409,0.104872726,0.042029474,-0.02796505,-2.3850565,-4.291326,-3.7859185,0.7134683,1.2099485
9410,0.1049179,0.042159293,-0.027936026,-2.391283,-4.288233,-3.7820277,0.70910525,1.1934592
9411,0.10485347,0.04205539,-0.027907081,-2.384608,-4.2960687,-3.7795267,0.6872179,1.1944265
9412,0.1048206,0.042005196,-0.027975185,-2.3837402,-4.2833853,-3.7942567,0.6828214,1.1802891
9413,0.104885824,0.04193092,-0.028020421,-2.4000957,-4.286503,-3.811104,0.6795899,1.186767
9414,0.1048628,0.04201471,-0.027953604,-2.3860514,-4.2990003,-3.845946,0.6885299,1.1859994
9415,0.10481051,0.04201614,-0.02805968,-2.3813527,-4.3029346,-3.8512225,0.68176997,1.1867223
9416,0.1048148,0.042103346,-0.027999733,-2.3780344,-4.3318706,-3.863023,0.6936263,1.2008438
9417,0.10470188,0.04209511,-0.028082382,-2.3912776,-4.316882,-3.862747,0.6971956,1.1823342
9418,0.10475711,0.04208838,-0.028150475,-2.3761256,-4.3253627,-3.8509414,0.6838905,1.1918111
9419,0.10485874,0.042051382,-0.028142026,-2.3811126,-4.312989,-3.8345296,0.70046276,1.1926014
9420,0.10465058,0.0422307,-0.02816904,-2.3751974,-4.320877,-3.8252988,0.70332223,1.2059907
9421,0.10473042,0.04229437,-0.028283758,-2.3909621,-4.3399034,-3.8086689,0.6916591,1.2113326
9422,0.10470672,0.042115755,-0.028353088,-2.4062057,-4.3427663,-3.8248358,0.68347764,1.2036171
9423,0.10468432,0.042204704,-0.028327035,-2.4072454,-4.339884,-3.8131042,0.67524886,1.2138841
9424,0.10467415,0.042077236,-0.02835829,-2.403591,-4.3173,-3.817726,0.6871865,1.2248958
9425,0.104653835,0.04201516,-0.028453842,-2.405744,-4.313849,-3.8154323,0.68866825,1.2160895
9426,0.104556926,0.04202673,-0.028348368,-2.411456,-4.3126063,-3.813935,0.685997,1.218314
9427,0.1047521,0.04199538,-0.028469564,-2.403174,-4.327986,-3.8233995,0.69078314,1.2248559
9428,0.10491946,0.041971833,-0.028365564,-2.4075756,-4.330266,-3.8329043,0.684335,1.2238048
9429,0.10491315,0.04208051,-0.02828857,-2.4067912,-4.3273335,-3.837681,0.6853513,1.2196825
9430,0.10488925,0.04214611,-0.02836064,-2.4206135,-4.344076,-3.8612719,0.68619716,1.2113038
9431,0.10504538,0.04227322,-0.028352374,-2.4099739,-4.341143,-3.843289,0.6820916,1.222799
9432,0.10496928,0.042389486,-0.028453933,-2.412362,-4.336478,-3.8418164,0.67107826,1.2049038
9433,0.104969405,0.042544916,-0.028306946,-2.4112275,-4.3234043,-3.833074,0.6804703,1.2021785
9434,0.10503187,0.04252142,-0.028380822,-2.405445,-4.331883,-3.8395967,0.6836691,1.196705
9435,0.10504953,0.04241786,-0.028563129,-2.4090424,-4.325214,-3.8462706,0.6850283,1.2042587
9436,0.1049412,0.04236515,-0.028397875,-2.4064813,-4.32097,-3.8325496,0.6847175,1.1991378
9437,0.104848616,0.04229961,-0.028348984,-2.4179428,-4.3251705,-3.8151832,0.68246645,1.1835166
9438,0.104822725,0.042107042,-0.028234951,-2.4102378,-4.3207455,-3.8253446,0.6822763,1.143893
9439,0.10486241,0.042154152,-0.028471561,-2.4110603,-4.3224587,-3.8409662,0.67674816,1.161891
9440,0.10480318,0.042089768,-0.028364021,-2.407465,-4.314939,-3.8427103,0.68192714,1.1638501
9441,0.10469537,0.042065177,-0.028397895,-2.4073844,-4.3352227,-3.8435411,0.6949216,1.1510159
9442,0.10480093,0.042088423,-0.028239338,-2.4059725,-4.3170724,-3.8390808,0.6773887,1.1524652
9443,0.10461276,0.04212704,-0.028417028,-2.4007308,-4.3137045,-3.8460932,0.68680435,1.1553344
9444,0.104748175,0.04203375,-0.028448619,-2.3959148,-4.3120966,-3.864648,0.6724911,1.1488067
9445,0.10471492,0.041873127,-0.02862822,-2.3882442,-4.306853,-3.8725045,0.6681843,1.1446295
9446,0.10462326,0.041969467,-0.028389208,-2.3925998,-4.322538,-3.857939,0.67902756,1.1568689
9447,0.104710326,0.041957,-0.028543767,-2.3831403,-4.317265,-3.8559718,0.6897224,1.1707354
9448,0.10484205,0.04197118,-0.028493764,-2.3708658,-4.331411,-3.8661957,0.6773799,1.176769
9449,0.10495543,0.04184813,-0.028527567,-2.3571432,-4.3222227,-3.8612552,0.6799698,1.1748241
9450,0.1048326,0.04189762,-0.028394239,-2.3356442,-4.3280625,-3.8493116,0.68253845,1.1791424
9451,0.104809485,0.04198533,-0.028196827,-2.3601854,-4.3287516,-3.8381321,0.6716393,1.1897167
9452,0.10473486,0.042087313,-0.028230155,-2.3818212,-4.334798,-3.8404834,0.6536902,1.1996546
9453,0.104780175,0.0420309,-0.028094135,-2.3804593,-4.3284693,-3.8508937,0.663366,1.1973126
9454,0.10480914,0.042104643,-0.028003348,-2.3910294,-4.3250246,-3.8292828,0.667386,1.2018931
9455,0.10460313,0.042232875,-0.028022666,-2.3817964,-4.3103127,-3.8170214,0.67333466,1.1900634
9456,0.104579024,0.042220283,-0.028082976,-2.3898747,-4.3190875,-3.797052,0.6659272,1.1915021
9457,0.104598865,0.042153433,-0.028083898,-2.3885932,-4.306079,-3.7816231,0.6516648,1.1843692
9458,0.1047062,0.042185593,-0.027970664,-2.3997881,-4.285518,-3.7762864,0.6410166,1.1761903
9459,0.104744315,0.042199895,-0.027880384,-2.4073985,-4.283483,-3.786449,0.65575963,1.152498
9460,0.1047613,0.04230633,-0.027837986,-2.3991015,-4.287924,-3.7855473,0.6501667,1.1591339
9461,0.10465988,0.04223077,-0.027889032,-2.4008033,-4.289989,-3.7871356,0.6607039,1.1608878
9462,0.10459446,0.04236899,-0.027835563,-2.3859162,-4.283863,-3.7890158,0.65465444,1.1508992
9463,0.10442504,0.04227532,-0.028032161,-2.3871942,-4.2566543,-3.7986746,0.65424776,1.1448874
9464,0.104470514,0.042254336,-0.028003039,-2.398279,-4.272628,-3.8041337,0.6497668,1.1450235
9465,0.10444137,0.042207547,-0.027853785,-2.4054275,-4.2725897,-3.7929292,0.63972837,1.1539041
9466,0.10451958,0.042376354,-0.027854009,-2.4190423,-4.2719045,-3.7596936,0.62941027,1.1508586
9467,0.104524836,0.042388327,-0.02776621,-2.4296503,-4.2533884,-3.7742856,0.6451374,1.1414396
9468,0.10466855,0.04238467,-0.027808275,-2.4242404,-4.2538743,-3.7600462,0.65150994,1.1501501
9469,0.10450525,0.042434517,-0.027522422,-2.4191105,-4.2725925,-3.7705128,0.6578641,1.1552365
9470,0.10445525,0.042545926,-0.0274424,-2.4138346,-4.2634983,-3.7845194,0.6457558,1.1518106
9471,0.10450056,0.042468887,-0.027562419,-2.4206667,-4.2646046,-3.7799633,0.6492693,1.1413248
9472,0.10440337,0.04244098,-0.027540686,-2.418335,-4.258721,-3.7744384,0.6413807,1.1456667
9473,0.10415603,0.042349022,-0.027487421,-2.4292753,-4.2680883,-3.7649887,0.6203136,1.1526212
9474,0.1038871,0.04229202,-0.027646698,-2.4301882,-4.261686,-3.777875,0.6185742,1.1245687
9475,0.10397343,0.04215532,-0.027723467,-2.4130158,-4.257022,-3.7998526,0.639441,1.132704
9476,0.10391402,0.042171475,-0.027799472,-2.4101474,-4.2673626,-3.7958908,0.6519269,1.1343766
9477,0.103989854,0.04209558,-0.027912151,-2.4172404,-4.279962,-3.784339,0.632993,1.1427733
9478,0.103979245,0.04191854,-0.027916137,-2.4102755,-4.278546,-3.7913451,0.6340707,1.1241957
9479,0.104061335,0.041984722,-0.028068453,-2.417287,-4.2799425,-3.794381,0.631245,1.1274949
9480,0.10428325,0.041838873,-0.028135683,-2.419194,-4.2726536,-3.7910361,0.63783085,1.1255201
9481,0.1044631,0.04185836,-0.028188782,-2.4214997,-4.2602572,-3.8096607,0.6363772,1.1114357
9482,0.10451502,0.04184263,-0.028072804,-2.4334748,-4.26138,-3.8114166,0.62340635,1.107325
9483,0.10453142,0.041828703,-0.02808042,-2.4148889,-4.2618155,-3.8273635,0.63676035,1.1001537
9484,0.10453715,0.04186392,-0.0281798,-2.4059923,-4.2623963,-3.816401,0.64534825,1.108675
9485,0.10439622,0.041970953,-0.02828452,-2.3972616,-4.2758255,-3.8087788,0.64091384,1.1178217
9486,0.104509965,0.04189062,-0.02820975,-2.3907406,-4.262592,-3.821155,0.6338173,1.1010294
9487,0.104528084,0.04184714,-0.028079074,-2.3887,-4.282186,-3.8305628,0.6207124,1.0883685
9488,0.10453159,0.04194727,-0.028182596,-2.3824654,-4.280036,-3.8197162,0.6165923,1.0822357
9489,0.10459077,0.042099804,-0.028320294,-2.369455,-4.26188,-3.8276052,0.6143444,1.0824867
9490,0.1045771,0.04198103,-0.028537229,-2.3555343,-4.2610855,-3.8304107,0.63211054,1.0864092
9491,0.104579344,0.04197124,-0.028429126,-2.3574882,-4.248646,-3.8339536,0.62791264,1.0910975
9492,0.1045071,0.042024318,-0.028475944,-2.3370557,-4.24477,-3.834526,0.61716753,1.0851673
9493,0.10452158,0.04191708,-0.028511025,-2.3432987,-4.2523537,-3.8343623,0.6201592,1.0957593
9494,0.104633145,0.04178127,-0.02855499,-2.349151,-4.251661,-3.8306422,0.62716407,1.1105776
9495,0.10455752,0.04181451,-0.02841266,-2.3315413,-4.251873,-3.8244498,0.6285962,1.0951064
9496,0.10458787,0.04185546,-0.028451769,-2.314764,-4.260278,-3.8254848,0.62479335,1.098417
9497,0.10445137,0.04176007,-0.02829437,-2.3041754,-4.2610006,-3.8193278,0.6300787,1.085677
9498,0.10444121,0.041709516,-0.028257135,-2.3079202,-4.250107,-3.8152719,0.6368446,1.0756468
9499,0.10455479,0.041640166,-0.028305583,-2.3235335,-4.270077,-3.7937012,0.6415574,1.0768733
9500,0.10481314,0.04150388,-0.028301666,-2.3355975,-4.2734337,-3.8074455,0.63402724,1.0844238
9501,0.104789175,0.041381847,-0.02821381,-2.3315394,-4.2667346,-3.7829945,0.6234254,1.085595
9502,0.10486378,0.04137431,-0.028137954,-2.3414958,-4.271918,-3.8087108,0.6209504,1.0889164
9503,0.104905196,0.041417588,-0.028239124,-2.3438103,-4.2689147,-3.7899802,0.6022357,1.0914202
9504,0.10497613,0.041496325,-0.028276525,-2.3486848,-4.265138,-3.7937984,0.6044005,1.0970017
9505,0.10482323,0.04157978,-0.028364968,-2.3445754,-4.2598557,-3.7892685,0.5977743,1.1182435
9506,0.10487203,0.041678127,-0.02834343,-2.3335392,-4.2818055,-3.7993302,0.5942822,1.1167754
9507,0.10475459,0.041742858,-0.0281746,-2.345421,-4.276401,-3.804352,0.57826227,1.1017314
9508,0.10475023,0.041773282,-0.028356176,-2.3354166,-4.2862215,-3.8160086,0.58435965,1.0918512
9509,0.104550354,0.041784707,-0.028456256,-2.3504212,-4.296464,-3.828948,0.5841924,1.0872514
9510,0.10452143,0.041749354,-0.028486624,-2.3475835,-4.2939315,-3.821414,0.5860411,1.0820415
9511,0.10463167,0.04185424,-0.028513,-2.355673,-4.2971125,-3.8353667,0.59126,1.069919
9512,0.104665875,0.041929938,-0.028542878,-2.3620186,-4.3023753,-3.8327167,0.58791584,1.0853487
9513,0.104760535,0.04176665,-0.028640857,-2.3730233,-4.31187,-3.8303778,0.586895,1.0776508
9514,0.10467654,0.04160706,-0.028515741,-2.3700209,-4.315083,-3.8254764,0.58605736,1.093009
9515,0.104683265,0.041561667,-0.028407712,-2.3649905,-4.3117213,-3.807313,0.5801042,1.1047492
9516,0.104684815,0.041569646,-0.02826829,-2.3640409,-4.3315554,-3.8037188,0.5788869,1.103606
9517,0.10478407,0.041527532,-0.02810845,-2.3575733,-4.340954,-3.8013213,0.5913008,1.1078528
9518,0.10468469,0.041461635,-0.028151322,-2.3498778,-4.33843,-3.819572,0.58515257,1.0963933
9519,0.104668036,0.04146558,-0.028438676,-2.3485994,-4.3221097,-3.8335168,0.6011696,1.0918533
9520,0.10471683,0.04150668,-0.028322658,-2.3623686,-4.3431664,-3.8260145,0.59428346,1.0928128
9521,0.104869336,0.041641235,-0.028560512,-2.3824005,-4.3566136,-3.8358703,0.58294785,1.0907791
9522,0.10487122,0.041458383,-0.028503265,-2.3847444,-4.360405,-3.818776,0.5883719,1.0897974
9523,0.104823925,0.041552253,-0.028529605,-2.3820305,-4.3715096,-3.8003013,0.5556977,1.0967052
9524,0.10493075,0.041466378,-0.02854802,-2.375071,-4.370829,-3.807716,0.55505973,1.1038438
9525,0.1049816,0.04142908,-0.028488114,-2.368107,-4.3525214,-3.795944,0.56153184,1.1018153
9526,0.104976654,0.041423004,-0.028501853,-2.3712018,-4.3488226,-3.7885725,0.54324734,1.1094509
9527,0.10495334,0.041396156,-0.028500555,-2.3647268,-4.3431168,-3.7841845,0.54920477,1.098049
9528,0.1051637,0.041335497,-0.02843389,-2.339407,-4.3396006,-3.7817776,0.5440177,1.0712045
9529,0.10515874,0.041243576,-0.028566472,-2.3610485,-4.3293443,-3.7869608,0.55360556,1.0602775
9530,0.105045296,0.041271884,-0.028735057,-2.3630028,-4.3189597,-3.79392,0.5571335,1.0553324
9531,0.10497134,0.04149263,-0.028775522,-2.3848984,-4.3126197,-3.7963412,0.5537076,1.040185
9532,0.10491654,0.04150548,-0.028801383,-2.3856318,-4.3115788,-3.7983172,0.5587878,1.0371389
9533,0.104934245,0.041539256,-0.028620118,-2.3837578,-4.3100123,-3.8072138,0.55872244,1.0452659
9534,0.104958616,0.04136543,-0.028610786,-2.387038,-4.307466,-3.8004272,0.5479267,1.0449226
9535,0.10490585,0.041325483,-0.028522534,-2.383606,-4.304243,-3.7988818,0.54890746,1.0494895
9536,0.10493461,0.0412449,-0.02854125,-2.4006815,-4.3028903,-3.777207,0.54526937,1.0567175
9537,0.10480994,0.041216005,-0.02856155,-2.382626,-4.291431,-3.7679644,0.5485439,1.0562109
9538,0.10485703,0.0411464,-0.02850039,-2.3772461,-4.289919,-3.7839243,0.53787565,1.0632899
9539,0.10471378,0.041084617,-0.028524024,-2.3863914,-4.28053,-3.7786696,0.53866345,1.0746154
9540,0.10494813,0.0411474,-0.02860968,-2.3780844,-4.26736,-3.7742567,0.5391758,1.0618106
9541,0.104747884,0.041052744,-0.028669437,-2.3649786,-4.2754188,-3.7810638,0.53680533,1.0665606
9542,0.104840085,0.040952493,-0.028840842,-2.3732514,-4.2673965,-3.7770407,0.5451182,1.0715303
9543,0.104874544,0.041175984,-0.028840533,-2.3760483,-4.2675223,-3.778786,0.5379869,1.0852207
9544,0.104910046,0.041273616,-0.028807111,-2.3763485,-4.267036,-3.786095,0.55206364,1.087201
9545,0.10487904,0.04112936,-0.028816408,-2.3771358,-4.2757077,-3.7861996,0.5374311,1.0936725
9546,0.104910806,0.041066464,-0.028901832,-2.3828402,-4.2746387,-3.7817588,0.5356693,1.0941343
9547,0.10492323,0.041164275,-0.02889811,-2.3790884,-4.281648,-3.7806168,0.55759686,1.0901706
9548,0.10495996,0.041120842,-0.028768321,-2.393538,-4.2787952,-3.777036,0.5574236,1.0820913
9549,0.10505356,0.041129608,-0.02883766,-2.3986704,-4.267029,-3.7783961,0.5611563,1.073636
9550,0.10503154,0.041090176,-0.028876062,-2.402509,-4.2571464,-3.7692127,0.53893,1.0942657
9551,0.105039254,0.04102666,-0.028826091,-2.4015203,-4.256752,-3.773299,0.54023916,1.0829519
9552,0.1051218,0.041091867,-0.028658008,-2.4009292,-4.255636,-3.7678943,0.5369846,1.100384
9553,0.10496036,0.041115955,-0.028709425,-2.3887022,-4.2679405,-3.762916,0.5365895,1.1014223
9554,0.105015054,0.041147884,-0.028676916,-2.380981,-4.27599,-3.764895,0.5429705,1.096436
9555,0.10493903,0.04111876,-0.02879139,-2.376743,-4.268645,-3.7650764,0.54288566,1.0998437
9556,0.10519126,0.041260257,-0.028793935,-2.3980546,-4.275934,-3.7539995,0.5440823,1.1036808
9557,0.10522293,0.04119143,-0.028743098,-2.3928015,-4.2728634,-3.7388208,0.5549532,1.122361
9558,0.10540526,0.041171946,-0.028735744,-2.3948812,-4.2969046,-3.7339098,0.55679643,1.124505
9559,0.105460495,0.04118949,-0.028637547,-2.3977902,-4.263602,-3.7356756,0.5547897,1.1332982
9560,0.10561781,0.04103012,-0.028501954,-2.4188673,-4.2700014,-3.7221386,0.55392015,1.1268622
9561,0.105564736,0.04101548,-0.0284358,-2.4154344,-4.257769,-3.7275107,0.5636106,1.136818
9562,0.10569148,0.04091098,-0.028296772,-2.4242868,-4.2552977,-3.7342703,0.57651067,1.140131
9563,0.105767675,0.040825784,-0.028329862,-2.420164,-4.2557163,-3.7526026,0.5812839,1.1352538
9564,0.10594058,0.040931858,-0.028204525,-2.4158952,-4.27698,-3.7560182,0.6030322,1.119397
9565,0.105887614,0.040856328,-0.02820911,-2.4325192,-4.2894235,-3.748104,0.5992911,1.1310099
9566,0.10590458,0.04098263,-0.02828308,-2.4372427,-4.2949505,-3.74893,0.60930973,1.1197507
9567,0.10583812,0.041035302,-0.028402463,-2.4277496,-4.3095765,-3.7688608,0.604702,1.1191711
9568,0.10577744,0.04097531,-0.02837244,-2.4251997,-4.323567,-3.7446618,0.61864924,1.1174364
9569,0.10587566,0.04110744,-0.028551493,-2.4249115,-4.327129,-3.7469025,0.6383981,1.1254039
9570,0.105869316,0.04106904,-0.028490558,-2.393732,-4.330051,-3.74561,0.6456705,1.1222723
9571,0.10601841,0.04107372,-0.028305529,-2.4028559,-4.336552,-3.7522426,0.6570678,1.1044499
9572,0.106012724,0.041037697,-0.028423905,-2.3996677,-4.325256,-3.7610838,0.6601822,1.0988349
9573,0.10603315,0.041026685,-0.028431442,-2.4224017,-4.345443,-3.7716062,0.65650874,1.0989672
9574,0.10596439,0.041082915,-0.028519515,-2.4341156,-4.316713,-3.7741823,0.6690801,1.0955931
9575,0.10580131,0.04116977,-0.028462091,-2.4447289,-4.3344455,-3.7763302,0.6771321,1.0929224
9576,0.105926245,0.041206922,-0.028342972,-2.4406292,-4.349048,-3.7831876,0.65108955,1.1015041
9577,0.10603033,0.041070353,-0.028362166,-2.4278374,-4.352557,-3.7944255,0.6653359,1.1046027
9578,0.10618022,0.041077394,-0.028230494,-2.4258928,-4.3511167,-3.8011854,0.6613938,1.1176739
9579,0.10607062,0.041077435,-0.028334547,-2.418125,-4.3664446,-3.7786922,0.67462254,1.1266835
9580,0.10612416,0.041108407,-0.028071662,-2.4134648,-4.3647847,-3.7774835,0.67976767,1.1229911
9581,0.10608859,0.041052394,-0.02797601,-2.4124057,-4.380347,-3.773878,0.67366153,1.126641
9582,0.10626803,0.041110724,-0.028061742,-2.4092357,-4.382664,-3.780197,0.664444,1.1281301
9583,0.106155396,0.041106082,-0.0278511,-2.425076,-4.3764253,-3.776603,0.66088265,1.1226779
9584,0.10604863,0.04093512,-0.027900275,-2.4342618,-4.3547926,-3.7779343,0.66343224,1.1338075
9585,0.10594659,0.040781632,-0.027805313,-2.4352622,-4.352075,-3.7743938,0.6649685,1.1462249
9586,0.10592126,0.040841,-0.027601328,-2.429855,-4.3662953,-3.770185,0.6536373,1.1520982
9587,0.105955444,0.040816784,-0.0276674,-2.4286125,-4.3607845,-3.7815514,0.6507394,1.1388358
9588,0.10609118,0.041019607,-0.027750276,-2.4143877,-4.3650165,-3.7725036,0.6556849,1.1311228
9589,0.10619654,0.04098042,-0.027756024,-2.392877,-4.353676,-3.761059,0.66830766,1.1323798
9590,0.10612956,0.040875226,-0.027691519,-2.4012969,-4.3553386,-3.761122,0.67756045,1.121136
9591,0.10604561,0.040754247,-0.027650295,-2.396127,-4.3457403,-3.7673116,0.68626535,1.1298387
9592,0.1061181,0.040555466,-0.027730938,-2.404992,-4.3456936,-3.7456143,0.6997099,1.1409627
9593,0.10617965,0.04053111,-0.027606912,-2.4026394,-4.3450394,-3.742267,0.71267784,1.1444564
9594,0.10616622,0.040453237,-0.027672056,-2.4096951,-4.351437,-3.74207,0.70429265,1.1507236
9595,0.1060694,0.040289763,-0.027687822,-2.4094725,-4.3601155,-3.7283158,0.70416915,1.1438123
9596,0.106164835,0.040238686,-0.02775656,-2.4059627,-4.3560257,-3.7535472,0.7093743,1.145809
9597,0.10627837,0.04028048,-0.027730387,-2.416051,-4.3702083,-3.7640257,0.71424174,1.149439
9598,0.10622402,0.040406168,-0.027743028,-2.4179661,-4.37359,-3.7652261,0.69971985,1.1529285
9599,0.10630902,0.040360257,-0.027633663,-2.420212,-4.3634586,-3.759459,0.71132946,1.1540238
9600,0.10621128,0.040411055,-0.027715605,-2.432319,-4.3476706,-3.7766275,0.71050495,1.1440625
9601,0.10611899,0.040258992,-0.027543714,-2.4280427,-4.3332844,-3.779096,0.71766335,1.1324319
9602,0.1061573,0.040397882,-0.027573325,-2.4108963,-4.3440437,-3.7664487,0.7153221,1.1328045
9603,0.10609389,0.040455297,-0.027647238,-2.3939772,-4.3448296,-3.7694206,0.70194536,1.1264449
9604,0.10604714,0.040441655,-0.027606208,-2.3873408,-4.331816,-3.775093,0.70257586,1.1265154
9605,0.10611554,0.04046574,-0.027731063,-2.3804488,-4.338352,-3.7719948,0.72224855,1.1267148
9606,0.10599747,0.040374387,-0.027630739,-2.3696465,-4.335374,-3.7861063,0.7317795,1.1227553
9607,0.1060787,0.040417064,-0.027606262,-2.3674195,-4.338257,-3.7748141,0.71747005,1.135728
9608,0.105996095,0.04030075,-0.027426627,-2.3750653,-4.338143,-3.7784004,0.71565366,1.1350707
9609,0.10578326,0.040260468,-0.027326686,-2.391002,-4.334295,-3.768066,0.7281866,1.1482713
9610,0.10567891,0.04038101,-0.027232349,-2.384123,-4.326819,-3.7726593,0.7370698,1.1367981
9611,0.1057465,0.04049234,-0.027403502,-2.3612037,-4.3263674,-3.768551,0.7471719,1.1204377
9612,0.10568522,0.04044303,-0.027591132,-2.3570452,-4.3345575,-3.758191,0.7626101,1.1322855
9613,0.10551823,0.040309314,-0.02737003,-2.3625605,-4.3293924,-3.7741191,0.7314639,1.1305411
9614,0.10570954,0.040387873,-0.027370498,-2.3502052,-4.3187065,-3.76137,0.7175667,1.1306945
9615,0.10572179,0.04024455,-0.027295109,-2.3461208,-4.3272023,-3.7533123,0.71999353,1.110551
9616,0.10570552,0.04024508,-0.0271649,-2.3431718,-4.3091187,-3.748168,0.718461,1.1153625
9617,0.10576028,0.04048998,-0.027231714,-2.3567996,-4.304801,-3.7459152,0.7099161,1.1197232
