test
Iter,alpha,theta,kappa,log(sigma_z),log(lambda),mu_x,log(sigma_x),log(mu_z)
221,0.08317235,0.019504603,-0.02852503,-2.0465689,-4.7166367,-2.9822395,0.79911053,0.5718238
222,0.08310339,0.01942019,-0.028532013,-2.0537488,-4.7060966,-2.9792,0.7895744,0.57114434
223,0.083018444,0.019381588,-0.02849833,-2.051999,-4.7006545,-2.9887762,0.7815974,0.5612894
224,0.08297238,0.019381346,-0.028529167,-2.0513222,-4.697042,-2.9932568,0.7786995,0.58901054
225,0.082958005,0.019347517,-0.028641077,-2.073221,-4.6881304,-3.0035138,0.77765447,0.5819406
226,0.08278164,0.01941849,-0.02862985,-2.0862606,-4.6951914,-2.9923406,0.77923495,0.5875008
227,0.08276363,0.01939824,-0.028663607,-2.077752,-4.7026305,-2.9837599,0.7878889,0.5866078
228,0.08281857,0.019369824,-0.028749175,-2.0676656,-4.702048,-2.9856937,0.7987344,0.5793547
229,0.08286928,0.019390913,-0.02861475,-2.0895472,-4.6868887,-2.9843192,0.76963997,0.59193194
230,0.08282139,0.019358886,-0.028545136,-2.094797,-4.6888986,-2.9662366,0.78507483,0.5810008
231,0.08279568,0.019409316,-0.028400837,-2.097414,-4.6974697,-2.9665582,0.7725056,0.58294034
232,0.08277926,0.019607311,-0.028611315,-2.0944014,-4.684948,-2.9600008,0.7580246,0.57264555
233,0.08271772,0.019560179,-0.028875422,-2.1074522,-4.6934476,-2.9497235,0.7534302,0.5540956
234,0.08265291,0.019598093,-0.028982185,-2.1167467,-4.6904063,-2.942665,0.7316098,0.56225306
235,0.082649015,0.019583078,-0.028857205,-2.1084538,-4.701002,-2.9497328,0.73049575,0.5704403
236,0.08286498,0.019549511,-0.029104602,-2.108998,-4.701776,-2.945889,0.74535346,0.5685354
237,0.08295032,0.019480206,-0.029175913,-2.0885422,-4.705861,-2.946953,0.7453705,0.5454979
238,0.08297382,0.0193388,-0.029211413,-2.1012864,-4.7075987,-2.9509435,0.7491557,0.5505115
239,0.0829907,0.019504514,-0.02908025,-2.0797803,-4.698798,-2.960781,0.7266415,0.5528021
240,0.08277029,0.019456178,-0.02916431,-2.099284,-4.7080507,-2.9738839,0.7310916,0.5460702
241,0.08268237,0.019568766,-0.029181242,-2.0955803,-4.7096825,-2.9803038,0.7365517,0.54568946
242,0.08246603,0.019585308,-0.029292863,-2.123546,-4.7176967,-2.9834466,0.7481211,0.5297244
243,0.08245414,0.019640481,-0.029331928,-2.123038,-4.723433,-2.9847302,0.75185394,0.53018504
244,0.08237721,0.019707793,-0.029312564,-2.1192575,-4.7288547,-3.0157704,0.75573325,0.54157144
245,0.082394674,0.019835113,-0.029275078,-2.1191735,-4.730417,-3.0106368,0.75613415,0.5357748
246,0.08240827,0.019796545,-0.029327596,-2.11137,-4.742271,-3.006946,0.7631699,0.52652174
247,0.08237049,0.01984975,-0.02931132,-2.1155388,-4.742166,-3.0055733,0.756811,0.52596027
248,0.08233323,0.019954756,-0.029213479,-2.1214864,-4.744827,-3.0086095,0.76075804,0.5459492
249,0.082423784,0.019970972,-0.029204534,-2.1085808,-4.7298293,-3.0272577,0.75804126,0.54131794
250,0.08255758,0.019934025,-0.029291665,-2.0991025,-4.7259636,-3.034955,0.7546137,0.5385213
251,0.0825957,0.019898992,-0.029159065,-2.106642,-4.734453,-3.029556,0.7594826,0.55392885
252,0.08273809,0.019757975,-0.029450119,-2.1061447,-4.733836,-3.0252461,0.75640136,0.5495039
253,0.08281371,0.019910168,-0.029603451,-2.112884,-4.739831,-3.028937,0.75278,0.54811907
254,0.08288809,0.020136647,-0.029607011,-2.111911,-4.7405453,-3.0236251,0.7564759,0.5330315
255,0.08285477,0.02018984,-0.029543648,-2.1255033,-4.74965,-3.0212617,0.7659045,0.53154624
256,0.082835354,0.020176923,-0.029635234,-2.1145637,-4.7328877,-2.9964886,0.7779663,0.5438508
257,0.08302087,0.020237735,-0.029684588,-2.1309848,-4.7424893,-2.9959404,0.78683525,0.5404821
258,0.083173476,0.020235864,-0.02973364,-2.124192,-4.7572308,-3.0138755,0.79334176,0.5354884
259,0.083304524,0.020307776,-0.02971948,-2.1200044,-4.7670174,-2.9960895,0.7930771,0.5358409
260,0.08324136,0.020342017,-0.029559955,-2.1164587,-4.7627854,-2.992247,0.7953767,0.52727276
